photo_id,title,description,latitude,longitude,views,tags_raw,tags_content,url
49599851501,Cuernos del Paine,"Do not use or reproduce this image on websites, blogs, or other media without my explicit permission.  All rights reserved - Copyright © Stefan Pfenninger ",-51.05959,-73.011081,6994,"'Berge', 'Chile', 'Patagonien', 'Torre de Pains', 'A7', 'Sony A7', 'A7RMIV', 'A7RM4', 'Zeiss', 'Zeiss1635', 'Lake', 'torres', 'del', 'paine', 'cuernos', 'variotessart16354za', 'Carl'","berge, chile, patagonien, torredepains, a7, sonya7, a7rmiv, a7rm4, zeiss, zeiss1635, lake, torres, del, paine, cuernos, variotessart16354za, carl",https://live.staticflickr.com/65535/49599851501_8a56d28cd7_w.jpg
52829746285,Sunrise at Torres del Paine,"Early morning sun on the clouds and mountains, looking across Laguna Amarga.  See more on my blog: jasonfrels.com/2023/04/19/the-road-to-torres-del-paine/",-50.976791,-72.743718,6973,"'Chile', 'Mountains', 'National Park', 'Parque Nacional', 'Patagonia', 'South America', 'Torres del Paine', 'sunrise', 'travel'","chile, mountains, nationalpark, parquenacional, patagonia, southamerica, torresdelpaine, sunrise, travel",https://live.staticflickr.com/65535/52829746285_8f39e6d521_w.jpg
52688908777,Amarga,"Laguna Amarga Torres del Paine, Chile   EXPLORE FEB 17, 2023 Highest position: 451",-50.977453,-72.742345,6044,"'DSLR', 'APS-C', 'Canon EOS Rebel T5i', 'Canon EF-S 18-55mm f/3.5-5.6 IS STM', 'Digital Photo Professional', 'cropped', 'mountains', 'lake', 'laguna amarga', 'torres del paine', 'clouds', 'faved', '2 fav', '50 view', '3 fav', '5 fav', '1 cmt', '2 cmt', '100 view', '250 view', '500 view', '1.000 view', '10 fav', '25 fav', '50 fav', '3 cmt', '5 cmt', '10 cmt', 'explored', '2.500 view', '100 fav', '5.000 view'","dslr, apsc, canoneosrebelt5i, canonefs1855mmf3556isstm, digitalphotoprofessional, cropped, mountains, lake, lagunaamarga, torresdelpaine, clouds, faved, 2fav, 50view, 3fav, 5fav, 1cmt, 2cmt, 100view, 250view, 500view, 1000view, 10fav, 25fav, 50fav, 3cmt, 5cmt, 10cmt, explored, 2500view, 100fav, 5000view",https://live.staticflickr.com/65535/52688908777_643de469ed_w.jpg
52973631436,Sortida de sol als Cuernos del Paine,"Foto panoràmica per incloure tot el massís muntanyós. A l’equerra queda el Cerro Paine Grande, i al centre els Cuernos del Paine sobre el Lago Nordenskjöld, coberts per la típica capa de núvols que està sempre present.  Magnífic viatge organitzat per @aurea_nature a la Patagònia argentina i xilena.",-51.040814,-72.908464,5807,"'Chile', 'Parque Nacional Torres del Paine', 'Patagonia', 'Cuernos del Paine', 'Lago Nordenskjöl'","chile, parquenacionaltorresdelpaine, patagonia, cuernosdelpaine, lagonordenskjöl",https://live.staticflickr.com/65535/52973631436_68eef8cdaa_w.jpg
52828905571,Sendero a base Torres,"Parque Nacional Torres del Paine, Patagonia, Chile, Enero 2023",-50.950581,-72.925506,5079,"'Bosque', 'Parquenacionaltorresdelpaine', 'Torresdelpaine', 'Chile', 'Patagonia', 'Torres', 'Ariannarossofoto', 'arianna rosso'","bosque, parquenacionaltorresdelpaine, torresdelpaine, chile, patagonia, torres, ariannarossofoto, ariannarosso",https://live.staticflickr.com/65535/52828905571_509b656326_w.jpg
52888504484,"Hielo, Glaciar Gray",Parque Nacional Torres del ,-51.007809,-73.179437,4970,"'Torresdelpaine', 'Chile', 'Ariannarosso', 'Ariannarossofoto', 'patagonia'","torresdelpaine, chile, ariannarosso, ariannarossofoto, patagonia",https://live.staticflickr.com/65535/52888504484_f626490aa9_w.jpg
49744280166,¡Hola!,"Chuncho - Glaucidium nanum, Torres del Paine, Magallanes, Chile",-50.966657,-72.856843,4948,,,https://live.staticflickr.com/65535/49744280166_c4197c0038_w.jpg
49506131158,Torres del Paine - Chile,nan,-50.943139,-72.791109,1751,"'Torres del Paine', 'Magallanes y la Antártica Chile', 'Chile', 'Cordillera de los Andes', 'Cordillera', 'Andean Mountains', 'South America', 'Andre Yabiku', 'Yabiku'","torresdelpaine, magallanesylaantárticachile, chile, cordilleradelosandes, cordillera, andeanmountains, southamerica, andreyabiku, yabiku",https://live.staticflickr.com/65535/49506131158_a48fff9f72_w.jpg
49662379407,Cloud day @Torres del Paine - Chile,nan,-51.041137,-72.910187,1577,"'Torres del Paine', 'Magallanes y la Antártica Chile', 'Chile', 'Andre Yabiku', 'Yabiku', 'panorama', 'landscape', 'clouds', 'Patagonia', 'South America'","torresdelpaine, magallanesylaantárticachile, chile, andreyabiku, yabiku, panorama, landscape, clouds, patagonia, southamerica",https://live.staticflickr.com/65535/49662379407_8752cc33a8_w.jpg
52858509539,Sunrise in Torres del Paine,"First light on the clouds and mountains with Lago Pehoe in the foreground. 4 second exposure to smooth the waves and simplify the lake. Torres del Paine national park, Chile",-51.105313,-72.989344,1478,"'Chile', 'Lago Pehoe', 'Mountains', 'National Park', 'Patagonia', 'South America', 'Torres del Paine', 'lake', 'landscape photography', 'long exposure', 'sunrise', 'travel', 'water'","chile, lagopehoe, mountains, nationalpark, patagonia, southamerica, torresdelpaine, lake, landscapephotography, longexposure, sunrise, travel, water",https://live.staticflickr.com/65535/52858509539_20cb2ab6c4_w.jpg
